Champion,First Team,Second Team,Time,Score
تصفيات أمم أفريقيا,بوتسوانا,موريتانيا,15:00,1 - 1
تصفيات أمم أفريقيا,أوغندا,جنوب أفريقيا,15:00,0 - 2
تصفيات أمم أفريقيا,زيمبابوي,كينيا,18:00,1 - 1
تصفيات أمم أفريقيا,إيسواتيني,غينيا بيساو,18:00,1 - 1
تصفيات أمم أفريقيا,موزمبيق,مالي,18:00,0 - 1
تصفيات أمم أفريقيا,كاب فيردي,مصر,18:00,1 - 1
تصفيات أمم أفريقيا,زامبيا,كوت ديفوار,18:00,1 - 0
تصفيات أمم أفريقيا,أنجـــــولا,غانـــا,21:00,1 - 1
تصفيات أمم أفريقيا,الجابون,المغرب,21:00,1 - 5
تصفيات أمم أفريقيا,جامبيا,جزر القمر,21:00,1 - 2
مباريات ودية -أندية,الزمالك,النصر,20:30,1 - 2
الدوري المصري الممتاز - سيدات,المقاولون العرب,اتحاد بسيون,14:30,3 - 1
الدوري المصري الممتاز - سيدات,المصري,المعادي واليخت,14:30,0 - 3
الدوري المصري الممتاز - سيدات,الزمالك,مودرن سبورت,14:30,3 - 1
الدوري المصري الممتاز - سيدات,بالم هيلز,بيراميدز,14:30,0 - 2
الدوري المصري الممتاز - سيدات,الطيران,انبي,14:30,2 - 0
الدوري المصري الممتاز - سيدات,الأهلي,الجونة,14:30,11 - 0
دوري الأمم الأوروبية,قبرص,ليتوانيا,19:00,2 - 1
دوري الأمم الأوروبية,لوكسمبرج,بلغاريا,21:45,0 - 1
دوري الأمم الأوروبية,إيرلندا الشمالية,بيلاروسيا,21:45,2 - 0
دوري الأمم الأوروبية,سان مارينو,جبل طارق,21:45,1 - 1
دوري الأمم الأوروبية,البرتغال,بولندا,21:45,5 - 1
دوري الأمم الأوروبية,إسكتلندا,كرواتيا,21:45,1 - 0
دوري الأمم الأوروبية,الدنمارك,إسبانيا,21:45,1 - 2
دوري الأمم الأوروبية,سويسرا,صربيا,21:45,1 - 1
دوري الأمم الأوروبية,رومانيا,كوسوفو,21:45,3 - 0
تصفيات كأس العالم-آسيا,اندونيسيا,اليــــابان,14:00,0 - 4
تصفيات كأس العالم - أمريكا الجنوبية,باراجواي,الأرجنتين,01:30,2 - 1
تصفيات كأس العالم - أمريكا الجنوبية,إكوادور,بوليفيا,02:00,4 - 0
